Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,QUINTAL DAS BORBOLETAS EDUCACAO INFANTIL,35006045,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DOS EXPEDICIONARIOS, 822 SOUSAS. 13106-028 Campinas - SP.",(19) 40428834,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.88283854,-46.97361668
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BERCARIO E ESCOLA INFANTIL BARAO DE TEFFE,35006230,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JOAO PEDROSO, 310 ARRUAMENTO FAIN JOSE FERES. 13084-583 Campinas - SP.",(19) 32894766,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.81989,-47.08517
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL LUMIANA,35006591,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"BADEN POWELL, 1631 1643 1653. JARDIM NOVA EUROPA. 13040-093 Campinas - SP.",(19) 32770271,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.9439866666667,-47.0547783333333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL JOAO E DUDA,35006601,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"PAULO AMGI, 115 PARQUE FAZENDINHA. 13064-712 Campinas - SP.",(19) 32825215,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.89447388,-47.15257237
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL PREDUC,35006678,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"EDUARDO LANE, 442 JARDIM BRASIL. 13073-002 Campinas - SP.",(19) 32410143,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.8857111698017,-47.0672941580415
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO OFICINA DO ESTUDANTE UNIDADE BARAO GERALDO,35006706,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ALBINO JOSE BARBOSA DE OLIVEIRA, 1556 BARAO GERALDO. 13084-008 Campinas - SP.",(19) 38811900,Privada,Comunitária,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL TURMINHA DA ALEGRIA,35007009,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JOAQUIM TARSO GALLACE ZAMBOM, 134 PARQUE SANTA BARBARA. 13064-400 Campinas - SP.",(19) 32824143,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.8909016666667,-47.145325
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,M D S EDUCACAO INFANTIL LTDA AQUARELA DO SABER,35007082,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"LIBERO BADARO, 100 JARDIM ALVORADA. 13050-740 Campinas - SP.",(19) 33087775,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.94845,-47.10833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MAPLE BEAR CANADIAN SCHOOL CAMPINAS UNIDADE 2,35007259,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA PADRE DOMINGOS GIOVANINI, PARQUE TAQUARAL. 13087-310 Campinas - SP.",(19) 33086001,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,INSTITUTO SER SENSO EDUCACAO REINTEGRADA,35007321,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ARNALDO BARRETO, 667 SAO BERNARDO. 13030-420 Campinas - SP.",,Privada,Comunitária,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-22.92563268,-47.07458202
