Escola,Código INEP,UF,Município,Localização,Endereço,Telefone,Categoria Escola Privada,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
ESCOLA DE EDUCACAO INFANTIL INTERACAO LTDA,35008534,SP,Campinas,Urbana,"RUA DOS CRAVOS, 113 CHACARA PRIMAVERA. 13087-470 Campinas - SP.",(19) 32030608,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
P B MARQUES EDUCACAO ESCOLA INFANTIL PEDRO E ROGERIO,35008580,SP,Campinas,Urbana,"RUA SERGIO GUIMARAES FABIANO, 728 CIDADE SATELITE IRIS. 13059-640 Campinas - SP.",(19) 37622535,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,
COLEGIO ADVENTISTA DE CAMPINAS UNIDADE BARAO GERALDO,35008635,SP,Campinas,Urbana,"RUA DOUTOR SERGIO ALMEIDA PRADO, 210 CIDADE UNIVERSITARIA. 13083-750 Campinas - SP.",(19) 29325650,Confessional,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
NOVA ARCA DE NOE ESCOLA DE EDUCACAO INFANTIL LTDA,35008718,SP,Campinas,Urbana,"RUA PROFESSORA RUTH FONSECA DE OLIVEIRA, 141 JARDIM NOVO MARACANA. 13058-402 Campinas - SP.",,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
BATTISTELLA PEREIRA E PEREIRA ESCOLA INFANTIL LTDA,35008860,SP,Campinas,Urbana,"RUA MARIA DA ENCARNACAO DUARTE, 159 CHACARA DA BARRA. 13090-766 Campinas - SP.",(19) 32556273,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
ESCOLA DE EDUCACAO INFANTIL SANTA GENEBRA LTDA,35008891,SP,Campinas,Urbana,"RUA MAESTRO FRANCISCO MANOEL DA SILVA, 133 JARDIM SANTA GENEBRA. 13080-190 Campinas - SP.",,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8456179285422,-47.0710054133087
ESCOLA RENOVA EDUCACAO POR PRINCIPIOS,35008966,SP,Campinas,Urbana,"RUA JAIME SEQUIER, 249 PARQUE TAQUARAL. 13087-140 Campinas - SP.",(19) 32910500,Confessional,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
MAPLE BEAR CANADIAN SCHOOL CAMPINAS HIPICA,35008991,SP,Campinas,Urbana,"RUA EGBERTO FERREIRA DE ARRUDA CAMARGO, 480 PARQUE DA HIPICA. 13092-621 Campinas - SP.",(19) 32588392,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
MINISTERIO PENTECOSTAL LUZ DO MUNDO,35009020,SP,Campinas,Urbana,"AVENIDA CARLOS STELLA NETO, 600 JARDIM MONTE CRISTOPARQUE OZIEL. 13049-001 Campinas - SP.",(19) 988488980,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.93838865,-47.08163358
AZENHA BERCARIO E RECREACAO DIRIGIDA LTDA,35009059,SP,Campinas,Rural,"RUA SAO CARLOS, 182 CASA 188. VILA INDUSTRIAL. 13035-420 Campinas - SP.",(19) 32723710,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.91235205,-47.06433082
IRIS JARDIM DE INFANCIA WALDORF LTDA,35009090,SP,Campinas,Urbana,"RUA FRANCISCO DE BARROS FILHO, 235 BARAO GERALDO. 13084-215 Campinas - SP.",(19) 33818189,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
JARDIM DA INFANCIA BERCARIO E EDUCACAO INFANTIL DEBORA,35009281,SP,Campinas,Urbana,"RUA FRANCISCO GASPAR DA SILVA, 381 JARDIM EULINA. 13063-490 Campinas - SP.",(19) 982251627,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
ESCOLA DE EDUCACAO INFANTIL PEQUENO MUNDO LTDA,35009308,SP,Campinas,Urbana,"RUA OURINHOS, 83 CHACARA DA BARRA. 13090-727 Campinas - SP.",(19) 997097661,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
INSTITUTO DE EDUCACAO INFANTIL PARAISO LTDA,35009329,SP,Campinas,Urbana,"RUA DUQUE DE CAXIAS, 991 CENTRO. 13015-311 Campinas - SP.",(19) 32335311,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,
COLEGIO ILLUMINARE EPP,35009392,SP,Campinas,Urbana,"RUA ATILIO FOCESI, 116 JARDIM SAO FRANCISCO SOUSAS. 13105-168 Campinas - SP.",(19) 32582772,Particular,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,
ESCOLA INFANTIL PEIXINHO DOURADO,35009445,SP,Campinas,Urbana,"RUA AZARIAS DE MELO, 706 TAQUARAL. 13076-008 Campinas - SP.",(19) 32528620,Particular,Até 50 matrículas de escolarização,Educação Infantil,,
ESCOLA LUMIAR CAMPINAS,35009571,SP,Campinas,Urbana,"RUA EMBIRUCU, 244 LOTEAMENTO ALPHAVILLE CAMPINAS. 13098-320 Campinas - SP.",(19) 993070210,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,
COLEGIO POLIEDRO UNIDADE CENTRO,35009757,SP,Campinas,Urbana,"RUA DELFINO CINTRA, 100 BOTAFOGO. 13020-100 Campinas - SP.",(19) 41411616,Particular,Até 50 matrículas de escolarização,Ensino Médio,,
INCLUSIONE EDUCACIONAL,35009846,SP,Campinas,Urbana,"AVENIDA JOAO ERBOLATO, 291 JARDIM CHAPADAO. 13070-070 Campinas - SP.",(19) 32131610,Particular,Até 50 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,
