Escola,Código INEP,UF,Município,Localização,Endereço,Telefone,Categoria Escola Privada,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
TIQUIRA ESCOLA BASICA,35471653,SP,Campinas,Urbana,"ANTONIO DE PADUA FREI, 1208 RUA. JARDIM GUANABARA. 13073-330 Campinas - SP.",(19) 32424526,Particular,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-22.89041044,-47.07160262
TORRE FORTE INSTITUTO EDUCACIONAL,35480149,SP,Campinas,Urbana,"JORGE TIBIRICA, 1608 AVENIDA. JARDIM DOS OLIVEIRAS. 13044-125 Campinas - SP.",(19) 988387518,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9330169,-47.0495331
ESCOLA TIGRINHOS E GOLDEN TIGERS ED INF ENS FUNDAMENTAL,35480290,SP,Campinas,Urbana,"LUMEN CHRISTI, 02 RUA. JARDIM DAS PAINEIRAS. 13092-320 Campinas - SP.",(19) 32520958,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8944467,-47.0348
LIVRE SOFIA ESCOLA,35480514,SP,Campinas,Urbana,"RUA MAESTRO LUIZ DE TULIO, 236 RUA. VILA BRANDINA. 13092-558 Campinas - SP.",(19) 37621327,Particular,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-22.8985861,-47.0283265
JATOBA RECREACAO INFANTIL,35496431,SP,Campinas,Urbana,"MENOTTI ARTHUR GRIGOL, 225 RUA. CHACARA SANTA MARGARIDA. 13085-485 Campinas - SP.",(19) 32875344,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.7936641266569,-47.0715502370149
BRASINHA BERCARIO DE ESTIMULO E APRENDIZAGEM,35518876,SP,Campinas,Urbana,"LUIZ DALINCOURT, 311 BOSQUE. 13026-040 Campinas - SP.",(19) 32513769,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9087075079073,-47.0468653645805
COLEGIO AZENHA,35524128,SP,Campinas,Urbana,"JOAO BATISTA MORATO DO CANTO, 1821 AVENIDA. VILA ANHANGUERA. 13031-800 Campinas - SP.",(19) 33428984,Particular,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-22.91840573,-47.08822824
WALDORF AMORINHAS BERCARIO,35528316,SP,Campinas,Urbana,"HELENA STEIMBERG, 625 RUA. JARDIM SAO CARLOS. 13092-481 Campinas - SP.",(19) 33950129,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8949489,-47.0409885
PASSO MAGICO ESCOLA INFANTIL,35560583,SP,Campinas,Urbana,"JORGE TIBIRICA, 1750 AVENIDA. JARDIM DOS OLIVEIRAS. 13044-125 Campinas - SP.",(19) 32764666,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9347875062376,-47.0486933737993
ANAS PARK RECANTO INFANTIL,35560595,SP,Campinas,Urbana,"CARLOS CASTELLO BRANCO, 75 RUA. PARQUE RESIDENCIAL VILA UNIAO. 13060-739 Campinas - SP.",(19) 32238266,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.93748,-47.1194
CORRENTE DO BEM ESPACO,35565088,SP,Campinas,Urbana,"DANTON GOMES, 25 RUA. VILA BRANDINA. 13092-510 Campinas - SP.",(19) 32942625,Comunitária,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8994611,-47.0273073
GERACAO COLEGIO,35566925,SP,Campinas,Urbana,"AVENIDA MARECHAL JUAREZ TAVORA, 980 990. JARDIM CAMPOS ELISEOS. 13060-866 Campinas - SP.",(19) 33815637,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9218693,-47.0984911
AKATU ESCOLA ALDEIA,35567759,SP,Campinas,Urbana,"RUA JOAO BATISTA GRIGOL, 161 CHACARA BELVEDERE. 13085-335 Campinas - SP.",(19) 32876761,Comunitária,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.7892342,-47.0766914
ESCOLA DE EDUCACAO INFANTIL LEVICEU,35568661,SP,Campinas,Urbana,"MOGI MIRIM, 500 RUA. JARDIM NOVO CAMPOS ELISEOS. 13050-543 Campinas - SP.",(19) 32284791,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.9379136,-47.0992361
ESCOLA DE EDUCACAO INFANTIL NETO LORENZO,35570539,SP,Campinas,Urbana,"FERNAO DE MAGALHAES, 6 RUA. PARQUE TAQUARAL. 13087-130 Campinas - SP.",(19) 32561101,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.86928964,-47.04895363
FRASSON ESCOLA DE EDUCACAO INFANTIL LTDA ESCOLA CRIATIVA,35571398,SP,Campinas,Urbana,"RUA FREI ANTONIO DE PADUA, 1509 RUA. JARDIM GUANABARA. 13073-330 Campinas - SP.",(19) 992000028,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88503,-47.06895
CONTEMPORANEA ESCOLA,35571751,SP,Campinas,Urbana,"GUARANI, 896 AVENIDA. JARDIM GUARANI. 13100-211 Campinas - SP.",(19) 32543344,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.91034257,-47.04212573
COLEGIO ELITECOL,35579403,SP,Campinas,Urbana,"LUIZ OTAVIO, 2535 RUA. PARQUE RURAL FAZENDA SANTA CANDIDA. 13087-560 Campinas - SP.",(19) 32511012,Particular,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.8506642,-47.0433513
COLEGIO BLESSED,35581690,SP,Campinas,Urbana,"RUA ADIL CARLOS LEONE, 172 PARQUE VIA NORTE. 13065-197 Campinas - SP.",(19) 988387518,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.88126419,-47.12402439
ESCOLA INFANTIL NO MUNDO DAS CORES,35581872,SP,Campinas,Urbana,"IRIS, 167 RUA. VILA MIMOSA. 13050-065 Campinas - SP.",(19) 30322582,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9368069,-47.0918266
INSTITUTO DE EDUCACAO PARQUE INDUSTRIAL IEPI,35582803,SP,Campinas,Urbana,"JOAO BATISTA MORATO DO CANTO, 1695 AVENIDA. VILA ANHANGUERA. 13031-800 Campinas - SP.",(19) 25152353,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9181774,-47.0871203
CRECHE AGOSTINIANA SANTO ANTONIO,35583431,SP,Campinas,Urbana,"JOSEPH COOPER REINHARDT, 350 ANEXO 450. VILA MARIETA. 13042-200 Campinas - SP.",(19) 32335544,Filantrópica,Entre 501 e 1000 matrículas de escolarização,Educação Infantil,-22.927625044249,-47.055571898818
RECANTO INFANTIL SERELEPE,35586869,SP,Campinas,Urbana,"JOAO BATISTA SIGNORI, 70 RUA. VILA NOVA. 13073-065 Campinas - SP.",(19) 32420463,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8808869,-47.0684217
CATATAU PARQUE INFANTIL,35800375,SP,Campinas,Urbana,"MANOEL DA RESSURREICAO FREI, 615 RUA. JARDIM GUANABARA. 13073-221 Campinas - SP.",(19) 32412522,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.89115459,-47.07232473
EEI PINGO DE MEL E ENSINO FUNDAMENTAL COLEGIO LADS,35800387,SP,Campinas,Urbana,"PAULO PROVENZA SOBRINHO, 1015 AVENIDA. VILA PERSEU LEITE DE BARROS. 13060-356 Campinas - SP.",(19) 32694637,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9272483,-47.1094813
CENTRO EDUCACIONAL LAPORTE,35800417,SP,Campinas,Urbana,"FRANCISCO DE PAULA OLIVEIRA NAZARETH, 658 AVENIDA. PARQUE INDUSTRIAL. 13031-440 Campinas - SP.",(19) 32732854,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.9201934393495,-47.085375180468
ALICERCE COLEGIO,35800430,SP,Campinas,Urbana,"BENEDITO RODRIGUES GOUVEIA, 259 RUA. JARDIM CAMPOS ELISEOS. 13060-020 Campinas - SP.",(19) 32272383,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.926875,-47.0991511
BOLHA D AGUA RECANTO INFANTIL,35800442,SP,Campinas,Urbana,"ADALBERTO MAIA, 116 RUA. TAQUARAL. 13076-007 Campinas - SP.",(19) 32547034,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8841953,-47.053774
CRESCENDO BERCARIO E ESCOLA EDUC INFANTIL,35800478,SP,Campinas,Urbana,"DOUTOR FRANZ WILHELM DAFFERT, 362 AVENIDA. JARDIM CHAPADAO. 13070-161 Campinas - SP.",(19) 32134242,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8825402,-47.0737328
BARONESA RECANTO INFANTIL,35800521,SP,Campinas,Urbana,"AVENIDA JULIO DINIZ, 411 AVENIDA. JD NOSSA SRA AUXILIADORA. 13075-420 Campinas - SP.",(19) 32425202,Particular,Até 50 matrículas de escolarização,Educação Infantil,-22.8796827890598,-47.0586846156463
RDS INSTITUTO EDUCACIONAL,35801963,SP,Campinas,Urbana,"ANTONIO FERREIRA LARANJA, 57 RUA. JARDIM GARCIA. 13061-090 Campinas - SP.",(19) 37287700,Particular,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.91429631,-47.10182081
CRIATIVA ESCOLA ENSINO FUNDAMENTAL E INFANTIL,35802062,SP,Campinas,Urbana,"JOSE STRAZZACAPA, 44 RUA. JARDIM MADALENA. 13091-603 Campinas - SP.",(19) 32070396,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8718995535746,-47.0319682080299
PAO DOS POBRES DE SANTO ANTONIO ASSOCIACAO DO,35804678,SP,Campinas,Urbana,"RUA REGENTE FEIJO, 487 RUA. CENTRO. 13013-051 Campinas - SP.",(19) 32311073,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.910255,-47.0579166666667
CENTRO DE PROMOCAO PARA UM MUNDO MELHOR CEPROMM,35804685,SP,Campinas,Urbana,"CORUMBATAI, 254 RUA. JARDIM ITATINGA. 13052-444 Campinas - SP.",(19) 32650213,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9808248,-47.1078655
CASA DA CRIANCA MARIA LUISA HARTZER,35804691,SP,Campinas,Urbana,"ANTONIO VICENTE LEVANTEZI, 290 RUA. PARQUE MONTREAL. 13052-344 Campinas - SP.",(19) 32258884,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.9685266666667,-47.1071516666667
MADRE ANASTACIA CASA DA CRIANCA,35804708,SP,Campinas,Urbana,"DANIEL GODOI PEREIRA, 52 RUA. CONJUNTO HABITACIONAL VIDA NOVA. 13057-541 Campinas - SP.",(19) 32667366,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.97625,-47.17342
CASA DA CRIANCA DE SOUSAS,35804712,SP,Campinas,Urbana,"MARIA DE ALMEIDA MAGALHAES, 288 RUA. SOUSAS. 13106-016 Campinas - SP.",(19) 32581892,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8818712104112,-46.9645825680345
VOVO NESTOR CASA DA CRIANCA,35804721,SP,Campinas,Urbana,"PEDRO BRAGA, 130 RUA. PARQUE ITALIA. 13036-135 Campinas - SP.",(19) 32724737,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.9189383333333,-47.0675583333333
SEMENTE DA VIDA CENTRO DE FORMACAO,35804733,SP,Campinas,Urbana,"IVO GATTI, 95 RUA. JARDIM FLAMBOYANT. 13091-214 Campinas - SP.",(19) 32536014,Comunitária,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88708,-47.02841
MENINO JESUS DE PRAGA CRECHE,35804745,SP,Campinas,Urbana,"ANUAR MURAD BUFARAH, 578 RUA. NOVO CAMBUI. 13023-630 Campinas - SP.",,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88360833,-47.04477833
BENTO QUIRINO CRECHE I,35804769,SP,Campinas,Urbana,"RUA CONEGO CIPIAO, 802 RUA. CENTRO. 13010-010 Campinas - SP.",(19) 32312831,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.9068266666667,-47.0555466666667
JORGE RAFFUL KANAWATY CRECHE,35804770,SP,Campinas,Urbana,"ELDORADO, 156 RUA. JARDIM ITATINGA. 13052-450 Campinas - SP.",(19) 32259734,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.98023619,-47.10514568
CANTINHO DE LUZ CRECHE,35804782,SP,Campinas,Urbana,"RUA TRINTA E UM DE MAIO, 49 RUA. JARDIM SANTA EUDOXIA. 13096-322 Campinas - SP.",(19) 32545222,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9263,-47.0325
HUMBERTO DE CAMPOS INSTITUTO POPULAR,35804794,SP,Campinas,Urbana,"SERAFINA IRMA, 674 RUA. CENTRO. 13015-201 Campinas - SP.",(19) 25148784,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.90557843,-47.05569176
GUSTAVO MARCONDES CRECHE,35804800,SP,Campinas,Urbana,"MARIA FRANCO SALGADO DONA, 881 JARDIM ATIBAIA SOUSAS. 13106-290 Campinas - SP.",(19) 32582419,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8866757173091,-46.9661724474281
CRECHE MAE LUIZA,35804836,SP,Campinas,Urbana,"THEODURETO DE ALMEIDA CAMARGO DOUTOR, 750 AVENIDA. JARDIM NOSSA SENHORA AUXILIADORA. 13075-630 Campinas - SP.",(19) 32423877,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.87212,-47.06917
ASSOCIACAO FRANCISCANA DE ASSISTENCIA SOCIAL SAO JOSE CENTRO EDUCACIONAL IRMA MARIA ANGELA,35804848,SP,Campinas,Urbana,"FRANCISCO BIANCHINI, 303 RUA. VILA GEORGINA. 13043-720 Campinas - SP.",(19) 32767232,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9332816666667,-47.042575
GRUPO DE ORACAO ESPERANCA,35804859,SP,Campinas,Urbana,"LUIZ ROSA PROFESSOR, 184 RUA. BOTAFOGO. 13020-260 Campinas - SP.",(19) 32016249,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.90066085,-47.06482928
TIA LEA CRECHE,35804861,SP,Campinas,Urbana,"ANTONIO LOURENCO, 382 RUA. JARDIM SAO PEDRO. 13046-150 Campinas - SP.",(19) 32769679,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.93291096,-47.02222848
DOM NERY INSTITUTO DE MENORES,35804873,SP,Campinas,Urbana,"PAULO DE ALMEIDA NOGUEIRA, 240 AVENIDA. TAQUARAL. 13076-310 Campinas - SP.",(19) 32532954,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.8795,-47.0491766666667
JESUS DE NAZARE LAR ESCOLA,35804897,SP,Campinas,Urbana,"VITAL BRASIL, 636 RUA. JARDIM BELA VISTA. 13077-005 Campinas - SP.",(19) 32523922,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8747846,-47.0442843
ASSOCIACAO DOS AMIGOS DA CRIANCA AMIC,35804927,SP,Campinas,Urbana,"RUA TENENTE LORIVAL BERTINOTI, 300 VILLAGE CAMPINAS. 13085-724 Campinas - SP.",(19) 32877970,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.7448756247759,-47.0525257475674
NOSSA SENHORA DA VISITACAO CENTRO PROMOCIONAL,35804939,SP,Campinas,Urbana,"MARCIO EGIDIO DE SOUZA ARANHA, 143 AVENIDA. JARDIM IPAUSSURAMA. 13060-840 Campinas - SP.",(19) 32278128,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.92812645,-47.12341997
NOVA JERUSALEM CENTRO EDUCAC ASSIST BENEFICENTE,35804940,SP,Campinas,Urbana,"ALVES PRESIDENTE, 1252 RUA. JARDIM FLAMBOYANT. 13091-107 Campinas - SP.",(19) 32558350,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8888729,-47.03058789
ASSOCIACAO EVANGELICA ASSISTENCIAL,35804952,SP,Campinas,Urbana,"RUA FRANCISCO ANTONIO DA SILVA, 770 RUA. VILA FORMOSA. 13045-025 Campinas - SP.",(19) 32760357,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9512333333333,-47.0223916666667
SPES SERVICO SOCIAL DA PAROQUIA SAO PAULO APOSTOLO,35804964,SP,Campinas,Urbana,"LUIZ ARISTEO NUCCI, 9 RUA. JARDIM SAO MARCOS. 13082-210 Campinas - SP.",(19) 32460921,Comunitária,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8500569756431,-47.1177039404431
LAR TERNURA CRECHE,35804976,SP,Campinas,Urbana,"ANTHERO CHRYSTINO, 627 RUA. PARQUE RURAL FAZENDA SANTA CANDIDA. 13087-556 Campinas - SP.",(19) 32568923,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8346588,-47.0377146
MAE CRISTINA CRECHE,35804988,SP,Campinas,Urbana,"ANTONIO FRANCISCO DE PAULA SOUZA ENGENHEIRO, 790 AVENIDA. VILA PARAISO. 13043-540 Campinas - SP.",(19) 32711891,Filantrópica,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.92841,-47.04585
RUTH DE MARIA CAMARGO SAMPAIO IRMA FUNDACAO,35804997,SP,Campinas,Urbana,"RUA ANTONIO DE MENDONCA, 100 CHACARA BOA VISTA. 13068-575 Campinas - SP.",(19) 32820319,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.8693391055382,-47.1480398909463
UNIDADE DE EDUCACAO INFANTIL ADELIA ZORNIG,35805026,SP,Campinas,Urbana,"SEBASTIAO AUGUSTO DE CASTRO DOUTOR, 34 RUA. PARQUE VALENCA II. 13058-582 Campinas - SP.",(19) 32218172,Comunitária,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.9386033333333,-47.193
FLORESTA ENCANTADA PARQUE INFANTIL,35806237,SP,Campinas,Urbana,"DAS CAMELIAS, 119 157 E 175. CHACARA PRIMAVERA. 13087-488 Campinas - SP.",(19) 32960732,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.86275,-47.04967
RECANTO DA ALEGRIA BERCARIO E PRE ESCOLA,35806250,SP,Campinas,Urbana,"ANGELO VICENTIM, 182 RUA. BARAO GERALDO. 13084-060 Campinas - SP.",(19) 32890391,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8261647,-47.08341734
PEDRO E RAFAEL COLEGIO,35807990,SP,Campinas,Urbana,"CARLOS DE ARAUJO GOBBI, 529 AVENIDA. VILA SAO BENTO. 13034-670 Campinas - SP.",(19) 32136029,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9110192,-47.0945023
SHALOM COLEGIO,35808155,SP,Campinas,Urbana,"RUA ANTONIO CARLOS NEVES, 149 RUA. CHACARAS CAMPOS ELISEOS. 13050-173 Campinas - SP.",(19) 32694400,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.94996615,-47.09669884
CIE CENTRO INTEGRADO DE EDUCACAO COLEGIO MULTIPLO,35808167,SP,Campinas,Urbana,"MARGARIDAS, 900 RUA. CHACARA PRIMAVERA. 13087-450 Campinas - SP.",(19) 37878490,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8557545,-47.0503494
WALDORF VEREDAS ESCOLA ASSOCIATIVA,35808702,SP,Campinas,Rural,"ESTRADA M ADELINA SEGANTINE C LEITE, SN KM 2 6. CHACARA S RAFAEL. 13098-035 Campinas - SP.",,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8321803,-47.0098002
RAPHAEL DI SANTO INSTITUTO EDUCACIONAL,35812900,SP,Campinas,Urbana,"ANTONIO FERREIRA LARANJA, 57 RUA. JARDIM GARCIA. 13061-090 Campinas - SP.",(19) 37287700,Particular,Entre 51 e 200 matrículas de escolarização,Ensino Médio,-22.91439417,-47.10184906
ESTRELINHA DO ORIENTE CRECHE,35813898,SP,Campinas,Urbana,"AVENIDA PASTOR PRATA VIEIRA, 31 RUA. VISTA ALEGRE. 13056-510 Campinas - SP.",(19) 32268000,Comunitária,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.99048,-47.11817
ASSOCIACAO PRESBITERIANA DE ACAO SOCIAL,35813904,SP,Campinas,Urbana,"RUA PAULA CREPALDI VALERIO, 60 RUA. VILA BOURBON SOUSAS. 13105-556 Campinas - SP.",(19) 32585317,Comunitária,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8806443662269,-46.9719488557791
